,practice,bnf_code,bnf_name,items,nic,act_cost,quantity,month,year
548,4928,8687,1263,6,66.03,61.7,5240,5,2016
549,10062,8687,1263,33,239.89,227.23,19038,5,2016
550,4746,8687,1263,18,134.06,126.5,10640,5,2016
551,2346,8687,1263,68,315.22,300.21,25015,5,2016
552,10367,8687,1263,18,183.14,171.81,14340,5,2016
553,1182,8687,1263,67,324.79,308.75,23906,5,2016
554,8678,8687,1263,27,162.68,153.86,12910,5,2016
555,2685,8687,1263,15,123.68,116.23,9450,5,2016
556,844,8687,1263,18,53.75,52.41,4229,5,2016
557,10114,8687,1263,57,246.24,232.7,19497,5,2016
558,10166,8687,1263,48,164.89,157.95,12974,5,2016
559,7569,8687,1263,12,63.5,60.02,5040,5,2016
560,9399,8687,1263,34,223.96,211.34,14872,5,2016
563,1539,8687,1263,4,3.52,3.71,280,5,2016
564,4188,8687,1263,12,140.24,131.3,11130,5,2016
566,10092,8687,1263,2,17.46,16.41,1386,5,2016
567,2138,8687,1263,39,171.23,162.52,13199,5,2016
568,1910,8687,1263,3,24.69,23.47,1960,5,2016
569,938,8687,1263,11,71.44,67.48,5670,5,2016
